국가,2011,2012,2013,2014,2015
호주,5.7,5.7,5.1,4.9,5.1
독일,4.9,4.5,4.1,4.2,4.3
그리스,10.3,8.9,8,7.3,7.3
헝가리,6.4,6.1,6,6.3,6.5
아이슬란드,3.8,2.8,4.7,1.2,4.9
아일랜드,4.1,3.6,4.1,4.2,3.5
이탈리아,6.5,6.3,5.7,5.6,5.6
일본,4.3,4.1,4.1,3.8,3.8
룩셈부르크,6.4,6.5,8.4,6.4,6.4
멕시코,3.8,3.9,3.2,3.1,2.9
네덜란드,4,3.9,3.4,3.4,3.7
오스트리아,6.2,6.3,5.4,5.1,5.6
뉴질랜드,6.4,6.9,5.7,6.5,6.9
노르웨이,3.4,2.9,3.7,2.9,2.3
폴란드,10.9,9.3,8.7,8.4,7.7
포르투갈,8.4,6.8,6.1,6.1,5.7
슬로베니아,6.9,6.3,6.1,5.2,5.8
대한민국,10.5,10.7,10.1,9.4,9.1
스페인,4.4,4.1,3.6,3.6,3.6
스웨덴,3.4,3,2.7,2.8,2.7
스위스,4.1,4.3,3.3,3,3.1
벨기에,8,7.5,6.8,6.7,6.8
터키,5.2,5,4.9,4.6,9.6
영국,3.1,2.8,2.8,2.9,2.8
미국,10.4,10.7,10.3,10.3,11.1
에스토니아,7.6,6.6,6.1,5.9,5.1
이스라엘,4.9,3.7,3.8,3.9,4.2
캐나다,5.9,6,5.6,5.2,5.3
칠레,11.9,11.4,12,11.9,11.9
체코,7.4,7.1,6.2,6.5,7
덴마크,4,3,3.4,3.2,3.1
핀란드,5.4,4.7,4.8,4.2,4.9
프랑스,6.3,5.8,5.1,5.3,5.4
출처) 도로교통공단.&#10;,,,,,
